#routeId	sign	shape	departs	stops
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,19:30:00,3;124,19:50:00,3;124,19:40:00,2;124,20:05:00,2;124,19:40:00,1;124,20:05:00,1	403399,0,;803147,263,;803105,350,;903280,540,;404857,780,;405006,833,;401168,942,;401169,990,;405165,1136,;403317,1200,;403732,1300,;402033,1500,;402034,1547,;404100,1626,;402036,1697,;402037,1762,;402038,1832,;402039,1934,;401630,1990,;402041,2040,;402042,2089,;402043,2127,;404099,2269,;405368,2390,;903080,2460,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,08:38:00,3;124,08:35:00,2;124,08:35:00,1	403399,0,;803147,321,;803105,428,;903280,660,;404857,960,;405006,1028,;401168,1169,;401169,1231,;405165,1417,;403317,1500,;403732,1600,;402033,1800,;402034,1852,;404100,1940,;402036,2019,;402037,2091,;402038,2168,;402039,2283,;401630,2345,;402041,2400,;402042,2463,;402043,2512,;404099,2695,;405368,2850,;903080,2940,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,14:07:00,3;124,13:52:00,3;124,14:22:00,3;124,13:55:00,2;124,14:07:00,2;124,14:19:00,2;124,13:55:00,1;124,14:07:00,1;124,14:19:00,1	405396,0,;402048,50,;402049,118,;401832,307,;405390,371,;404264,502,;402054,597,;402055,658,;402056,716,;402057,780,;401589,876,;403307,960,;403306,1032,;403305,1106,;403304,1219,;403303,1278,;402067,1383,;401202,1500,;403319,1637,;403318,1718,;401206,1800,;404287,1947,;401208,2024,;401209,2122,;401210,2220,;402870,2265,;903282,2520,;405386,2635,;903298,2672,;403397,3047,;803108,3120,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,15:12:00,3;124,15:00:00,2;124,15:12:00,2;124,15:00:00,1;124,15:12:00,1	403399,0,;803147,321,;803105,428,;903280,660,;404857,1020,;405006,1088,;401168,1229,;401169,1291,;405165,1477,;403317,1560,;403732,1680,;402033,1920,;402034,1983,;404100,2088,;402036,2183,;402037,2270,;402038,2362,;402039,2499,;401630,2574,;402041,2640,;402042,2710,;402043,2764,;404099,2968,;405368,3140,;903080,3240,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,16:22:00,3;124,16:23:00,2;124,16:23:00,1	405396,0,;402048,54,;402049,127,;401832,330,;405390,399,;404264,541,;402054,643,;402055,709,;402056,771,;402057,840,;401589,936,;403307,1020,;403306,1092,;403305,1166,;403304,1279,;403303,1338,;402067,1443,;401202,1560,;403319,1697,;403318,1778,;401206,1860,;404287,2007,;401208,2084,;401209,2182,;401210,2280,;402870,2325,;903282,2580,;405386,2729,;903298,2777,;403397,3265,;803108,3360,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,19:10:00,3;124,19:20:00,2;124,19:05:00,2;124,19:20:00,1;124,19:05:00,1	403399,0,;803147,263,;803105,350,;903280,540,;404857,840,;405006,893,;401168,1002,;401169,1050,;405165,1196,;403317,1260,;403732,1360,;402033,1560,;402034,1607,;404100,1686,;402036,1757,;402037,1822,;402038,1892,;402039,1994,;401630,2050,;402041,2100,;402042,2149,;402043,2187,;404099,2329,;405368,2450,;903080,2520,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,18:12:00,3;124,18:22:00,2;124,18:07:00,2;124,18:22:00,1;124,18:07:00,1	405396,0,;402048,50,;402049,118,;401832,307,;405390,371,;404264,502,;402054,597,;402055,658,;402056,716,;402057,780,;401589,876,;403307,960,;403306,1032,;403305,1106,;403304,1219,;403303,1278,;402067,1383,;401202,1500,;403319,1610,;403318,1674,;401206,1740,;404287,1866,;401208,1932,;401209,2016,;401210,2100,;402870,2136,;903282,2340,;405386,2432,;903298,2461,;403397,2761,;803108,2820,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,11:12:00,3;124,11:09:00,2;124,11:09:00,1	403399,0,;803147,321,;803105,428,;903280,660,;404857,1020,;405006,1081,;401168,1206,;401169,1261,;405165,1426,;403317,1500,;403732,1620,;402033,1860,;402034,1917,;404100,2014,;402036,2101,;402037,2181,;402038,2265,;402039,2391,;401630,2459,;402041,2520,;402042,2583,;402043,2632,;404099,2815,;405368,2970,;903080,3060,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,16:52:00,3;124,16:55:00,2;124,16:55:00,1	405396,0,;402048,54,;402049,127,;401832,330,;405390,399,;404264,541,;402054,643,;402055,709,;402056,771,;402057,840,;401589,944,;403307,1035,;403306,1113,;403305,1193,;403304,1316,;403303,1379,;402067,1494,;401202,1620,;403319,1730,;403318,1794,;401206,1860,;404287,1986,;401208,2052,;401209,2136,;401210,2220,;402870,2265,;903282,2520,;405386,2669,;903298,2717,;403397,3205,;803108,3300,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,18:00:00,3;124,18:00:00,2;124,18:00:00,1	403399,0,;803147,292,;803105,389,;903280,600,;404857,960,;405006,1028,;401168,1169,;401169,1231,;405165,1417,;403317,1500,;403732,1620,;402033,1860,;402034,1912,;404100,2000,;402036,2079,;402037,2151,;402038,2228,;402039,2343,;401630,2405,;402041,2460,;402042,2516,;402043,2560,;404099,2722,;405368,2860,;903080,2940,
